ticker,moat,understandability,balance_sheet_health,marketcap,pe_ratio
MSTR,2,3,3,90.5B,
ZS,3,3,5,28.8B,
DASH,2,2,4,71.0B,
MS,3,4,3,218.2B,17.1
VRT,3,3,3,49.8B,88.4
FAST,3,2,5,42.8B,37.2
SU,3,2,3,49.3B,9.0
VICI,3,2,3,30.9B,10.8
HUBS,3,2,4,37.0B,
FI,4,3,4,117.3B,39.8
TEAM,3,2,4,66.2B,
CMCSA,3,3,4,138.9B,9.8
CCI,2,2,2,39.4B,32.1
XYL,3,3,4,28.9B,34.1
FLUT,3,3,4,45.8B,
NOK,2.5,3,3,24.1B,27.8
MCK,3,2,4,75.6B,30.8
AMT,3,3,3,88.8B,45.9
WSM,3,2,4,24.5B,23.5
AWK,4,2,3,24.6B,25.1
BLK,4,3,4,154.2B,23.7
VST,2,3,3,59.2B,32.8
CSGP,4,3,4,30.1B,174.8
IR,3,4,4,36.6B,44.3
ALL,3,4,3,50.6B,12.3
TAK,3,3,4,41.4B,22.5
RBLX,3,3,4,42.8B,
CQP,3,4,3,30.0B,13.4
CP,3,3,4,69.9B,28.1
PCG,3,2,2,37.2B,13.2
SPY,1,1,5,,27.4
ABNB,2.5,3,4,82.6B,45.9
PLD,3,2,4,102.7B,33.5
SRE,2,3,3,53.2B,18.5
FANUY,4,3,5,26.7B,30.4
FCX,2,3,3,57.5B,29.0
NTES,3,3,4,65.0B,17.2
GLNCY,2.5,3,4,56.1B,
PPG,2,3,4,27.7B,19.0
SYF,2,3,4,26.4B,8.8
RJF,2,3,4,33.8B,17.0
UNH,3,3,4,469.9B,32.9
APO,3,4,4,93.9B,17.5
A,3,2,4,41.3B,32.7
CFRUY,2,4,4,103.8B,29.6
ON,3,3,4,22.8B,13.3
WST,3,3,4,24.4B,50.0
RACE,4,2,5,77.5B,52.9
CRM,3,4,4,306.2B,52.6
TSCO,3,2,4,28.6B,26.0
BAM,3,4,4,23.2B,50.5
EL,4,3,4,28.0B,139.4
WM,4,1,3,84.7B,32.3
LEN,2,2,3,38.0B,9.8
CHTR,3,2,2,49.3B,10.9
CAT,3,2,4,183.7B,17.7
LII,2,3,4,22.9B,30.6
XOM,2,2,5,489.3B,13.9
CI,2,3,4,78.2B,26.7
BTI,3,2,3,79.0B,
PH,4,3,4,84.8B,29.7
UNP,3,2,3,142.4B,21.6
ET,3,4,2,69.3B,14.9
LPLA,2,4,4,25.9B,26.0
SCHW,3,3,4,138.2B,29.5
ACN,3,2,4,219.3B,29.4
KO,4,2,4,268.2B,25.8
SNOW,3,4,4,55.3B,
EBAY,3,2,4,31.2B,16.4
CBRE,3,2,3,41.2B,43.6
RTX,3,3,3,160.3B,34.7
BAESY,3,3,4,44.9B,20.4
GIB,3,3,4,24.6B,21.3
ALNY,2,4,3,32.1B,
SLB,3,3,4,58.0B,13.2
FDX,2.5,3,3,66.8B,17.7
HDB,3,4,4,149.5B,19.1
MMM,3,3,3,75.8B,14.5
LVS,1,2,2,31.9B,21.8
OWL,3,4,3,34.9B,130.0
ODFL,4,2,5,40.5B,33.2
CM,2,3,3,59.4B,12.3
CCL,1,2,2,32.8B,17.4
TM,3,3,4,237.7B,9.0
E,3,3,3,44.3B,18.2
LMT,3,4,4,115.4B,17.6
NET,3,3,4,39.4B,
VLO,2,2,4,44.1B,12.3
CAH,3,2,4,30.7B,24.4
MRK,4,3,4,254.7B,21.1
UBS,2,4,4,105.6B,25.9
ADSK,4,3,4,62.5B,57.8
LRCX,3,4,4,101.9B,25.6
VRSK,4,4,4,39.3B,42.9
MAR,3,2,3,76.7B,28.9
MLM,3,2,4,32.5B,16.5
PEG,2,2,4,44.1B,21.7
SLF,2,3,4,34.0B,13.8
DIA,4,2,4,,25.0
TOELY,2,3,4,79.0B,26.5
EIX,3,2,3,23.7B,17.9
ELF,2,1,4,7.2B,68.6
PAA,3,2,3,14.1B,17.8
BLDR,3,3,4,18.9B,16.1
JBSAY,2,2,3,12.4B,10.1
CUBE,2,2,3.5,9.4B,23.2
HQY,3,3,4,8.9B,94.0
RIVN,2,4,2,14.5B,
BLCO,2,3,3,6.1B,
EPRT,2,2,3,5.6B,27.8
EPAM,2,4,4,13.0B,29.8
GGB,3,2,4,5.7B,7.4
PSLV,2,1,4,5.3B,3.3
CTRA,2,2,4,21.7B,17.9
KRYS,3,4,4,4.3B,83.4
PHG,2,4,3,24.1B,
BIP,4,3,3,14.4B,
FBIN,2.5,3,3.5,9.3B,21.0
GNRC,2,3,4,9.6B,33.6
ENSG,2,3,4,7.8B,33.1
LITE,2,3,4,6.5B,
CCK,3,3,3,10.2B,104.3
GMED,2,3,3,12.4B,146.5
KT,2,3,4,8.2B,10.3
LNW,2.5,3,3.5,8.0B,28.0
PCVX,1,3,4,10.6B,
ZWS,3,2,4,6.5B,48.9
BMI,3,3,5,6.3B,53.5
ALV,3,3,4,7.6B,12.8
CLH,2,3,4,13.0B,31.3
TLN,2,4,2,10.8B,
MHK,3,3,4,8.2B,14.6
EXPD,3,2,5,15.4B,21.5
YKLTY,2.5,2,4,5.8B,17.4
AWI,3,3,4,6.5B,26.3
THO,2,2,4,5.4B,26.0
WSO,3,2,3,19.9B,38.2
DLTR,2,2,4,15.5B,
BJ,2,2,3,12.6B,22.8
ZTO,2,3,4,15.6B,13.3
BEPC,3,3,4,4.6B,
CR,2,3,4,8.9B,34.5
DOCU,2.5,2,4,18.1B,18.6
VNT,2,3,4,5.6B,14.3
CRDO,3,3,4,13.4B,
CFR,2.5,2,4,9.2B,17.7
ACM,2,4,3,14.4B,29.4
AN,2,2,3,7.3B,10.7
IP,2,2,3,19.8B,48.7
CIGI,2,2,3,7.0B,43.2
OUKPY,3,2,4,7.8B,14.4
TECK,2,3,4,22.5B,21.4
BBWI,2,2,3,8.0B,9.0
NXST,2,3,2,4.7B,8.9
CASY,2,1,4,14.3B,27.2
DOC,2,3,4,14.5B,42.4
SUZ,2,3,4,12.8B,19.5
MNDY,3,2,4,12.1B,550.1
KNX,3,3,4,8.9B,238.5
RBC,3,3,3,9.8B,45.4
FAF,2,3,4,6.4B,70.4
FIX,2,3,4,17.9B,38.6
NCLH,2,3,1,11.9B,23.8
LAMR,3,2,4,12.8B,25.1
BBIO,2,3,3,6.4B,
PBA,3,2,3,21.9B,16.4
CTRE,2,2,4,5.0B,36.6
SNA,3,2,4,18.3B,17.9
FRHC,2,4,3,8.2B,23.7
JHX,2.5,3,3,14.5B,33.5
NGKSY,3,2,4,6.1B,11.0
RDNT,2,3,3,4.4B,
SMKUY,3,3,4,10.6B,50.0
CADE,2,3,4,6.5B,56.6
SPXC,2,3,4,6.9B,39.5
PKG,2,2,3,21.4B,27.7
TSEM,2,4,3,5.8B,28.6
CNP,2,1,3,21.2B,21.7
ROAD,2,2,4,5.0B,68.9
UGI,2,3,3,6.5B,24.1
SGSOY,2,2,3,17.6B,29.9
NTR,3,2,4,25.5B,34.9
INTA,2,4,3,5.2B,
AR,2,3,3,12.6B,289.0
HALO,2,3,4,7.0B,18.1
TKHVY,2,2,2,11.8B,2.1
SNDR,2,2,4,5.2B,46.4
ULS,3,3,4,10.4B,34.2
USM,2.5,3,4,5.5B,
FYBR,2,4,2,8.9B,
SOUN,2,3,2,5.0B,
CNH,2.5,2,3,15.3B,9.0
NI,3,2,3,17.8B,23.2
GTLB,2,4,4,10.2B,
ACI,2,2,3,11.4B,11.0
BIPC,3,3,4,5.3B,
JNPR,2,3,4,12.7B,50.6
NICE,4,3,5,10.2B,25.1
RDEIY,2,2,3,8.9B,15.3
TKO,3,3,4,11.5B,
ATI,2,3,4,8.2B,22.0
WES,3,3,4,15.8B,10.6
OHI,2,3,3,10.4B,27.5
ASTS,1,4,2,6.0B,
INCY,3,3,4,13.9B,799.2
ADT,2,3,2,6.5B,727.0
RS,2,3,4,15.6B,15.8
KKPNY,2,4,3,14.3B,16.5
ES,3,3,3,21.2B,
CFLT,3,3,4,8.8B,
SKX,2,2,4,10.6B,17.2
EHC,2,3,3,9.5B,22.3
KMX,3,2,3,12.1B,26.9
IHG,3,2,3,20.0B,32.7
NUVL,2,3,4,5.4B,
IEX,2,3,5,16.3B,33.4
DBX,2,2,4,9.2B,17.7
WYNN,2,2,2,9.3B,10.2
GGG,3,2,4,14.4B,30.1
JEF,2,4,4,15.6B,25.6
SSB,2,2,4,10.1B,15.4
LOAR,2,3,3,7.4B,394.5
KSPI,3,3,4,18.3B,9.8
GME,1,1,4,12.3B,137.6
RRC,2,3,3,9.9B,20.5
PECO,2,2,4,4.9B,76.1
PIPR,2,3,4,4.8B,32.5
LUMN,2,3,2,5.7B,
DKNG,2,2,3,19.2B,
KGC,2,2,3,12.8B,17.2
FN,2,3,4,8.8B,28.7
LTM,2,3,2,8.2B,10.4
QLYS,2,2,4,5.0B,30.2
BRRLY,3,2,4,6.8B,32.4
BXP,2,3,4,12.9B,31.8
SMCI,2,3,4,18.0B,15.3
MGM,2,3,3,9.8B,11.8
MOS,2,3,4,8.6B,24.0
AAL,1,2,1,12.0B,43.5
INFA,2,3,4,7.4B,106.0
STEP,3,3,4,7.5B,100.9
TLK,3,2,4,16.3B,11.9
AS,2,3,4,16.3B,
TRNO,2,2,4,6.1B,33.6
GLBE,3,3,4,9.4B,
TEM,2,3,4,5.5B,
OVV,3,2,4,11.9B,6.0
VRNS,2,3,4,5.0B,
WK,3,3,4,6.2B,
MT,3,4,3,18.2B,
AGI,2,2,4,8.3B,32.6
SOBO,2,3,3,5.1B,
ETSY,3,2,5,6.0B,27.1
NXT,2,3,4,6.5B,11.0
G,2,3,3,8.0B,12.4
ERELY,2,4,3,5.4B,9.9
NYT,3,3,4,8.5B,30.7
ASAN,2,3,4,4.4B,
CW,3,3,4,13.9B,34.7
EVRG,2,3,4,14.5B,17.1
WING,3,2,3,8.0B,80.0
UHS,3,3,3,12.2B,12.3
PCTY,3,3,4,11.0B,58.5
ZION,2,2,3,8.6B,13.2
GATX,3,3,4,5.5B,20.6
TAL,2,3,4,6.0B,82.2
HNGKY,2,3,3,9.6B,
ALK,2,2,4,8.4B,26.4
TRU,3,3,4,18.6B,83.6
CRS,2,4,4,10.3B,46.1
DSEEY,2,2,3,9.5B,10.4
JBHT,3,2,4,17.3B,31.1
EWBC,2,3,4,14.0B,12.7
ENTG,3,4,4,16.1B,70.5
GLOB,2.5,3,4,9.2B,55.6
LSCC,2,3,4,8.0B,57.1
DUOL,3,2,4,15.4B,191.9
XP,2,4,4,6.4B,9.2
VDMCY,2,2,3,10.9B,14.1
SKY,2,3,4,5.2B,35.1
SNX,2,3,4,11.5B,17.2
RKUNY,3,4,4,12.5B,
COKE,4,2,4,12.1B,24.0
IDA,3,2,4,5.9B,20.3
JKHY,3,2,4,12.6B,31.7
UTHR,2,4,5,16.0B,15.8
DLB,3,3,5,7.8B,30.2
BALL,2,2,3,16.2B,22.6
BMRN,2,3,3,11.7B,37.1
KRG,2,2,3,5.2B,
ESNT,2,2,4,6.1B,8.4
AXTA,2,2,3,7.9B,24.5
DGX,3,2,4,16.9B,20.3
GRFS,2,3,2,5.7B,29.1
LYFT,1.5,2,2.5,5.6B,
CAVA,2,3,4,13.5B,288.4
ESLT,3,3,4,13.3B,51.0
OMVKY,3,2,4,13.4B,9.9
COLD,3,3,3,6.1B,
DNB,3,2,4,5.0B,
POAHY,4,2,4,11.5B,2.9
GPC,2,2,4,16.5B,15.3
DVA,3,3,3,13.6B,17.9
REG,2,2,3,13.0B,33.6
AGCO,2,3,4,7.6B,45.0
